time,u1,u2,u3,y,z,phi,beta
1.48,4.2682900902809955,-15.0,-0.2697554815092561,4.955499,4.71492,0.0,0.0
1.5,4.41551693771774,-15.0,-0.24667320104916907,5.047749,4.748936,0.0,0.0
1.52,4.589826159435734,-15.0,-0.1580543575623794,5.1387377,4.7813296,0.0,0.0
1.54,4.71206646633422,7.098556378703925,-0.110120393107905,5.2286425,4.812452,0.0,0.0
1.56,4.762796098438036,15.0,-0.15436106241614478,5.3174906,4.8424735,0.0,0.0
1.58,4.782308983928934,15.0,-0.24887975152847153,5.4050946,4.871262,0.0,0.0
1.6,4.841518883875283,-7.941765132512536,-0.3014354110918764,5.4912705,4.8985987,0.0,0.0
1.62,4.962059267231906,-15.0,-0.2684916514220962,5.575993,4.9244523,0.0,0.0
1.6400000000000001,5.100936793921344,-15.0,-0.19417983968197883,5.6594577,4.949078,0.0,0.0
1.6600000000000001,5.1902720115915315,2.9279761678412446,-0.16563601434196362,5.741853,4.972782,0.0,0.0
1.68,5.215915647902063,15.0,-0.21768195877645036,5.8231964,4.9956784,0.0,0.0
1.7,5.221239473554461,15.0,-0.3021213196349108,5.903285,5.017604,0.0,0.0
1.72,5.271353181428024,-1.2875691664299111,-0.3350548459753296,5.9819083,5.0383296,0.0,0.0
1.74,5.383242257502028,-15.0,-0.28529800612727685,6.0590405,5.057839,0.0,0.0
1.76,5.508194551507342,-15.0,-0.20685341584830513,6.134887,5.0764,0.0,0.0
1.78,5.578552884035376,-7.106447406414681,-0.1864949535463562,6.2096887,5.094336,0.0,0.0
1.8,5.578924653763864,15.0,-0.2538752539655046,6.2834864,5.111749,0.0,0.0



