time,u1,u2,u3,y,z,phi,beta
2.36,6.325525877147894,-12.622626339816215,-0.4689135679587236,7.8419914,5.368777,-0.29866722,0.5695786
2.38,6.489114900234602,-15.0,-0.2596248073777214,7.879418,5.3720775,-0.27507135,0.5610007
2.4,6.5957229130081645,-15.0,-0.12693334579009902,7.915803,5.375399,-0.29078314,0.5549459
2.42,6.557252918489724,10.414992039292393,-0.19795663656590567,7.9513993,5.3791275,-0.34615645,0.5555455
2.44,6.426656871618218,15.0,-0.4063622241909696,7.9860544,5.383076,-0.37322855,0.5607011
2.46,6.337181297151353,15.0,-0.561053753910746,8.0193,5.3866363,-0.35921702,0.5639163
2.48,6.390938526894878,-11.887162883216241,-0.5171031541214559,8.050845,5.389386,-0.30370936,0.56048644
2.5,6.548115376489684,-15.0,-0.3188401257510429,8.080789,5.3914757,-0.27852184,0.55180615
2.52,6.675983553974405,-15.0,-0.15203848211509602,8.109594,5.393511,-0.29248407,0.54417175
2.54,6.664665155711099,8.94814069530954,-0.17633335516501553,8.13756,5.395962,-0.3460409,0.54269683
2.56,6.5416234337934105,15.0,-0.36646846480035344,8.164593,5.398758,-0.37526578,0.5466319
2.58,6.432390273492299,15.0,-0.5450474941253465,8.190254,5.401331,-0.3635134,0.5500258
2.6,6.455435372009389,-9.577345652363455,-0.5441194291906062,8.214224,5.403191,-0.3103076,0.54748094
2.62,6.596963018665537,-15.0,-0.3694846868736103,8.236545,5.4043803,-0.2811904,0.5391523
2.64,6.734100922241322,-15.0,-0.1880348512724232,8.257638,5.405448,-0.2910879,0.530638
2.66,6.745670284687988,5.196584152316483,-0.17425000962467196,8.277833,5.4069095,-0.34048396,0.5275067
2.68,6.635390157984085,15.0,-0.3383880000590632,8.297096,5.4087925,-0.3755578,0.5301358
2.7,6.515375201509781,15.0,-0.5254547427673022,8.315039,5.410597,-0.36972928,0.53336483
2.72,6.511142431614436,-3.844380979822325,-0.5589932720408423,8.331312,5.411792,-0.32249954,0.5314936
2.74,6.633922639513835,-15.0,-0.41140799249137794,8.3459,5.4123197,-0.28403085,0.52363443
2.7600000000000002,6.775247498064749,-15.0,-0.22529424361507175,8.359161,5.4126573,-0.28446507,0.5145481
2.7800000000000002,6.808252372144237,-3.7532042738053306,-0.17962477105212724,8.371468,5.413354,-0.3242985,0.5100384
2.8000000000000003,6.7119008005135505,15.0,-0.3172902896223659,8.38286,5.4145346,-0.37366146,0.5114963
2.82,6.582932653747946,15.0,-0.5086915410009102,8.393022,5.4157815,-0.3821783,0.51462924
2.84,6.5496150068300585,9.873180048842606,-0.5747260254083104,8.401546,5.4165144,-0.34933865,0.5134544
2.86,6.653987259065247,-15.0,-0.45271980164096304,8.408325,5.4165573,-0.28863794,0.5059918
2.88,6.8043287279470634,-15.0,-0.25879713323581377,8.413624,5.4162974,-0.26672995,0.49610737
2.9,6.867895904209911,-15.0,-0.1760557391024215,8.41791,5.416358,-0.28413182,0.49007985
2.92,6.785402747229188,11.492534280181609,-0.28944226695415404,8.42136,5.4170055,-0.3410642,0.4906119
2.94,6.636875042884126,15.0,-0.49707157303828575,8.423781,5.4179273,-0.366578,0.49436083
2.96,6.558203240425772,15.0,-0.6108903185947128,8.424724,5.418482,-0.3507663,0.49480993
2.98,6.630121600570604,-14.06822795891825,-0.5226483483532964,8.423964,5.418328,-0.29332554,0.48841405
3.0,6.78626591712933,-15.0,-0.3143918109791846,8.421656,5.4177256,-0.27200633,0.47785568
3.02,6.88600200547602,-15.0,-0.17831375780725703,8.418261,5.4173265,-0.28984874,0.46975508
3.04,6.834133930944353,12.257001258030833,-0.24578225723747502,8.414003,5.4175305,-0.34721565,0.46832272
