time,u1,u2,u3
2.24,6.455,0,0
2.26,6.455,0,0
2.28,6.455,0,0
2.30,6.455,0,0
2.32,6.455,0,0
2.34,6.455,0,0
2.36,6.455,0,0
2.38,6.455,0,0
2.40,6.455,0,0
2.42,6.455,0,0
2.44,6.455,0,0
2.46,6.455,0,0
2.48,6.455,0,0
2.50,6.455,0,0
2.52,6.455,0,0
2.54,6.455,0,0
2.56,6.455,0,0
2.58,6.455,0,0
2.60,6.455,0,0
2.62,6.455,0,0
2.64,6.455,0,0
2.66,6.455,0,0
2.68,6.455,0,0
2.70,6.455,0,0
2.72,6.455,0,0
2.74,6.455,0,0
2.76,6.455,0,0
2.78,6.455,0,0
2.80,6.455,0,0
2.82,6.455,0,0
2.84,6.455,0,0
2.86,6.455,0,0
2.88,6.455,0,0
2.90,6.455,0,0
2.92,6.455,0,0
2.94,6.455,0,0
2.96,6.455,0,0
2.98,6.455,0,0
3.00,6.455,0,0
3.02,6.455,0,0
3.04,6.455,0,0
3.06,6.455,0,0
3.08,6.455,0,0
3.10,6.455,0,0
3.12,6.455,0,0
3.14,6.455,0,0
3.16,6.455,0,0
3.18,6.455,0,0
3.20,6.455,0,0
3.22,6.455,0,0
3.24,6.455,0,0
3.26,6.455,0,0
3.28,6.455,0,0
3.30,6.455,0,0
3.32,6.455,0,0
3.34,6.455,0,0
3.36,6.455,0,0
3.38,6.455,0,0
3.40,6.455,0,0
3.42,6.455,0,0
3.44,6.455,0,0
3.46,6.455,0,0
3.48,6.455,0,0
3.50,6.455,0,0
3.52,6.455,0,0
3.54,6.455,0,0
3.56,6.455,0,0
3.58,6.455,0,0
3.60,6.455,0,0
3.62,6.455,0,0
3.64,6.455,0,0
3.66,6.455,0,0
3.68,6.455,0,0
3.70,6.455,0,0
3.72,6.455,0,0
3.74,6.455,0,0
3.76,6.455,0,0
3.78,6.455,0,0
3.80,6.455,0,0
3.82,6.455,0,0
3.84,6.455,0,0
3.86,6.455,0,0
3.88,6.455,0,0
3.90,6.455,0,0
3.92,6.455,0,0
3.94,6.455,0,0
3.96,6.455,0,0
3.98,6.455,0,0
4.00,6.455,0,0
4.02,6.455,0,0
4.04,6.455,0,0
4.06,6.455,0,0
4.08,6.455,0,0
4.10,6.455,0,0
4.12,6.455,0,0
4.14,6.455,0,0
4.16,6.455,0,0
4.18,6.455,0,0
4.20,6.455,0,0
4.22,6.455,0,0
4.24,6.455,0,0
4.26,6.455,0,0
4.28,6.455,0,0
4.30,6.455,0,0
4.32,6.455,0,0
4.34,6.455,0,0
4.36,6.455,0,0
4.38,6.455,0,0
4.40,6.455,0,0
4.42,6.455,0,0
4.44,6.455,0,0
4.46,6.455,0,0
4.48,6.455,0,0
4.50,6.455,0,0
4.52,6.455,0,0
4.54,6.455,0,0
4.56,6.455,0,0
4.58,6.455,0,0
4.60,6.455,0,0
4.62,6.455,0,0
4.64,6.455,0,0
4.66,6.455,0,0
4.68,6.455,0,0
4.70,6.455,0,0
4.72,6.455,0,0
4.74,6.455,0,0
4.76,6.455,0,0
4.78,6.455,0,0
4.80,6.455,0,0
4.82,6.455,0,0
4.84,6.455,0,0
4.86,6.455,0,0
4.88,6.455,0,0
4.90,6.455,0,0
4.92,6.455,0,0
4.94,6.455,0,0
4.96,6.455,0,0
4.98,6.455,0,0
5.00,6.455,0,0
